Thu Apr  6 00:44:02 2023    profile_worker_32537.prof

         203717 function calls (197819 primitive calls) in 9.408 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      100    8.795    0.088    8.795    0.088 {method '_accept' of '_socket.socket' objects}
      500    0.117    0.000    0.120    0.000 {method 'execute' of 'psycopg2.extensions.cursor' objects}
      200    0.042    0.000    0.042    0.000 {built-in method builtins.print}
 2000/500    0.018    0.000    0.037    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/cache_key.py:208(_gen_cache_key)
     2003    0.017    0.000    0.054    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/coercions.py:331(expect)
      100    0.012    0.000    0.012    0.000 {method 'recv_into' of '_socket.socket' objects}
     3596    0.011    0.000    0.012    0.000 /usr/lib/python3.8/typing.py:868(__new__)
        1    0.010    0.010    9.415    9.415 testserver.py:19(acceptCon)
      500    0.010    0.000    0.039    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/loading.py:78(instances)
      500    0.010    0.000    0.465    0.001 /home/za53/ece568/erss-hwk3-zs149-za53/handler.py:105(handleOrder)
      500    0.009    0.000    0.014    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/loading.py:789(_instance_processor)
 1200/200    0.009    0.000    0.018    0.000 /usr/lib/python3.8/xml/etree/ElementTree.py:895(_serialize_xml)
      500    0.008    0.000    0.011    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/elements.py:3779(__init__)
      500    0.008    0.000    0.022    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/engine/default.py:1093(_init_compiled)
      500    0.007    0.000    0.324    0.001 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/session.py:2011(_execute_internal)
      500    0.006    0.000    0.240    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/engine/base.py:1588(_execute_clauseelement)
     8096    0.006    0.000    0.009    0.000 {method 'get' of 'dict' objects}
      500    0.005    0.000    0.141    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/engine/base.py:1846(_exec_single_context)
      100    0.005    0.000    0.005    0.000 {method 'send' of '_socket.socket' objects}
      500    0.005    0.000    0.020    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/elements.py:1911(__init__)
      500    0.005    0.000    0.005    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/context.py:146(__init__)
      100    0.005    0.000    0.008    0.000 /usr/lib/python3.8/socket.py:301(makefile)
    22817    0.005    0.000    0.006    0.000 {built-in method builtins.isinstance}
      500    0.005    0.000    0.168    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/engine/base.py:1784(_execute_context)
      500    0.005    0.000    0.011    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/context.py:380(orm_pre_session_exec)
      400    0.005    0.000    0.012    0.000 /usr/lib/python3.8/xml/etree/ElementTree.py:782(_get_writer)
      100    0.004    0.000    0.469    0.005 /home/za53/ece568/erss-hwk3-zs149-za53/handler.py:93(handleTransactions)
      500    0.004    0.000    0.013    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/engine/default.py:1591(_setup_result_proxy)
      100    0.004    0.000    0.004    0.000 {method 'feed' of 'xml.etree.ElementTree.XMLParser' objects}
      200    0.004    0.000    0.007    0.000 /usr/lib/python3.8/xml/etree/ElementTree.py:834(_namespaces)
      500    0.004    0.000    0.004    0.000 {method 'cursor' of 'psycopg2.extensions.connection' objects}
      500    0.004    0.000    0.048    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/context.py:464(orm_setup_cursor_result)
     7000    0.004    0.000    0.008    0.000 {method 'write' of '_io.TextIOWrapper' objects}
 2000/500    0.004    0.000    0.065    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/operators.py:532(__eq__)
      500    0.004    0.000    0.011    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/elements.py:5205(safe_construct)
      500    0.003    0.000    0.055    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/type_api.py:180(operate)
      500    0.003    0.000    0.004    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/compiler.py:1646(construct_params)
      500    0.003    0.000    0.006    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/engine/cursor.py:1428(__init__)
     2500    0.003    0.000    0.003    0.000 {method 'get_anon' of 'sqlalchemy.cyextension.util.cache_anon_map' objects}
     7000    0.003    0.000    0.004    0.000 /usr/lib/python3.8/codecs.py:327(reset)
      500    0.003    0.000    0.051    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/default_comparator.py:51(_boolean_compare)
     1000    0.003    0.000    0.014    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/base.py:241(_generative)
 1070/529    0.003    0.000    0.011    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/util/langhelpers.py:1251(__get__)
      200    0.003    0.000    0.044    0.000 /usr/lib/python3.8/xml/etree/ElementTree.py:717(write)
      500    0.003    0.000    0.041    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/cache_key.py:332(_generate_cache_key)
     5132    0.003    0.000    0.003    0.000 {built-in method __new__ of type object at 0x909780}
      500    0.003    0.000    0.017    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/orm/context.py:2581(row_processor)
      100    0.003    0.000    0.005    0.000 /usr/lib/python3.8/socket.py:242(__repr__)
      500    0.003    0.000    0.004    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/elements.py:2094(_gen_cache_key)
      500    0.002    0.000    0.064    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/elements.py:617(_compile_w_cache)
      500    0.002    0.000    0.025    0.000 /home/za53/.local/lib/python3.8/site-packages/sqlalchemy/sql/elements.py:4399(_bind_param)
